Parsed result for candidate PRECINCTS COUNTED - TOTAL (000), no party, in race PRECINCTS COUNTED - TOTAL (0000) with 0 votes
Parsed result for candidate VOTERS (001), no party, in race REGISTERED VOTERS - TOTAL (0001) with 1514912 votes
Parsed result for candidate BALLOTS CAST (001), no party, in race BALLOTS CAST - TOTAL (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (002), NON party, in race BALLOTS CAST - Nonpartisan (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (003), DEM party, in race BALLOTS CAST - Democratic (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (004), REP party, in race BALLOTS CAST - Republican (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (005), GRN party, in race BALLOTS CAST - Green (0002) with 0 votes
Parsed result for candidate Laura Vandenbroucke (Christie) (011), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate James R. Selegean (Christie) (012), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Penny Pullen (Santorum) (013), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jeannine M. Como (Santorum) (014), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Mark R. Albers (Santorum) (015), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Stephen Cowen (Fiorina) (016), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jennifer Cowen (Fiorina) (017), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Judy Ortega (Fiorina) (018), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate John A. Tsarpalas (Carson) (019), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate James D. Skyles (Carson) (020), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jetta H. Boschen (Carson) (021), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Justin Eugene Kuehlthau (Paul) (022), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Michael Hager (Paul) (023), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jim O'Donnell (Paul) (024), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate David C. Harris (Kasich) (025), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Brian Moran (Kasich) (026), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Pamela Kinsey Lungmus (Kasich) (027), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Marc Levine (Rubio) (028), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Susan Kelly Sweeney (Rubio) (029), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Kevin O'Connell (Rubio) (030), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jasmine Velasco Hauser (Cruz) (001), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Joel B. Streightiff, Jr. (Cruz) (002), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Shprintza Spak (Cruz) (003), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Sandra Hodel-Runtz (Christie) (004), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Mark Crane (Christie) (005), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Joseph Tamraz (Christie) (006), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Nester Komolafe (Trump) (007), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Gerald DeNotto (Trump) (008), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Frank Bigga III (Trump) (009), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Daniel B. Peterson (Bush) (010), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Adam M. Robinson (Bush) (011), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Mary Childers (Bush) (012), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Joseph R. Hedrick (Santorum) (013), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Angela M. Como (Santorum) (014), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Steven Polit (Santorum) (015), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Carlos Ortega (Fiorina) (016), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Suzanne Devane (Fiorina) (017), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Diane Shapiro (Fiorina) (018), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Thomas Schild (Carson) (019), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Vivian L. Davros (Carson) (020), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Jeffrey J. Ross (Carson) (021), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate John C. Demler (Kasich) (022), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Carol A. Teschky (Kasich) (023), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Gregory J. Lungmus (Kasich) (024), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Alexander Paul Bisenius (Paul) (025), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Josh Gasbarra (Paul) (026), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Char Foss-Eggemann (Rubio) (027), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Douglas Gessner (Rubio) (028), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate Christopher Provenzano (Rubio) (029), REP party, in race Alternate Delegate, Natl Conv 9th REP (0186) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 1st District 4yr (0187) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 2nd District 2yr (0188) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 4th District 4yr (0189) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 5th District 2yr (0190) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 7th District 4yr (0191) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 8th District 2yr (0192) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 10th District 4yr (0193) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 11th District 2yr (0194) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 13th District 4yr (0195) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 14th District 2yr (0196) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 16th District 4yr (0197) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 17th District 2yr (0198) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Senator, 20th District 2yr (0199) with 0 votes
Parsed result for candidate Mel Thillens (001), REP party, in race State Senator, 28th District 4yr (0200) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 1st District (0201) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 2nd District (0202) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 3rd District (0203) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 4th District (0204) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 5th District (0205) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 6th District (0206) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 8th District (0207) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 9th District (0208) with 0 votes
Parsed result for candidate Mark Spognardi (001), REP party, in race State Representative, 10th District (0209) with 0 votes
Parsed result for candidate Gary Mandell (001), REP party, in race State Representative, 11th District (0210) with 0 votes
Parsed result for candidate Gene Witt (001), REP party, in race State Representative, 12th District (0211) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 13th District (0212) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 14th District (0213) with 0 votes
Parsed result for candidate Jonathan Edelman (001), REP party, in race State Representative, 15th District (0214) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 16th District (0215) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 19th District (0216) with 0 votes
Parsed result for candidate Michael P. McAuliffe (001), REP party, in race State Representative, 20th District (0217) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 21st District (0218) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 22nd District (0219) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 23rd District (0220) with 0 votes
Parsed result for candidate Andy Kirchoff (001), REP party, in race State Representative, 24th District (0221) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 25th District (0222) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 26th District (0223) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 27th District (0224) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 28th District (0225) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 29th District (0226) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 31st District (0227) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 32nd District (0228) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 33rd District (0229) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 34th District (0230) with 0 votes
Parsed result for candidate Victor Horne (001), REP party, in race State Representative, 35th District (0231) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 36th District (0232) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 39th District (0233) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 40th District (0234) with 0 votes
Parsed result for candidate Dan Gott (001), REP party, in race State Representative, 55th District (0235) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race State Representative, 78th District (0236) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Commissioner, Water Reclamation Dist (0237) with 0 votes
Parsed result for candidate No Candidate (002), REP party, in race Commissioner, Water Reclamation Dist (0237) with 0 votes
Parsed result for candidate No Candidate (003), REP party, in race Commissioner, Water Reclamation Dist (0237) with 0 votes
Parsed result for candidate Herb Schumann (001), REP party, in race Commissioner, Water Reclamation Dist 2yr (0238) with 0 votes
Parsed result for candidate Christopher E.K. Pfannkuche (001), REP party, in race State's Attorney, Cook County (0239) with 0 votes
Parsed result for candidate Diane S. Shapiro (001), REP party, in race Clerk of the Circuit Court, Cook County (0240) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Recorder of Deeds, Cook County (0241) with 0 votes
Parsed result for candidate Dan Patlak (001), REP party, in race Board of Review, 1st District (0242) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Board of Review, 2nd District (0243) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Appellate Court Judge (Vacancy of Epstein) (0244) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Appellate Court Judge (Vacancy of Quinn) (0245) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Biebel, Jr.) (0246) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Elrod) (0247) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Hogan) (0248) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Howlett, Jr.) (0249) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Johnson) (0250) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Karnezis) (0251) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Love) (0252) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of O'Brien) (0253) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Palmer) (0254) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Ruscitti Grussel) (0255) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Circuit Court Judge (Vacancy of Walsh) (0256) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 1st Subcircuit (Vacancy of Brim) (0257) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 1st Subcircuit (Vacancy of Hopkins) (0258) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 2nd Subcircuit (Vacancy of Savage) (0259) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 5th Subcircuit (Vacancy of Eadie-Daniels) (0260) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 5th Subcircuit (Vacancy of Stuart) (0261) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 5th Subcircuit (Vacancy of Williams) (0262) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 6th Subcircuit (Vacancy of Ponce de Leon) (0263) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 6th Subcircuit (Vac of Gonzalez Santiago) (0264) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 6th Subcircuit (Additional Judgeship A) (0265) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 7th Subcircuit (Vacancy of Burrell) (0266) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0267) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 9th Subcircuit (Vacancy of Berman) (0268) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 10th Subcircuit (Vacancy of Howard) (0269) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 11th Subcircuit (Vacancy of Kelly) (0270) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 11th Subcircuit (Vacancy of Zwick) (0271) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Judge, 14th Subcircuit (Vacancy of Ruble Murphy) (0272) with 0 votes
Parsed result for candidate Mark Calonder (001), REP party, in race Ward Committeeman, Rep 1st (0273) with 0 votes
Parsed result for candidate Eloise Gerson (001), REP party, in race Ward Committeeman, Rep 2nd (0274) with 0 votes
Parsed result for candidate Adrian J Wright (001), REP party, in race Ward Committeeman, Rep 3rd (0275) with 0 votes
Parsed result for candidate Lori Yokoyama (001), REP party, in race Ward Committeeman, Rep 4th (0276) with 0 votes
Parsed result for candidate Matthew Foldi (001), REP party, in race Ward Committeeman, Rep 5th (0277) with 0 votes
Parsed result for candidate Darnell B. Macklin (001), REP party, in race Ward Committeeman, Rep 6th (0278) with 0 votes
Parsed result for candidate Philanise White (001), REP party, in race Ward Committeeman, Rep 7th (0279) with 0 votes
Parsed result for candidate Lynn Renee Franco (001), REP party, in race Ward Committeeman, Rep 8th (0280) with 0 votes
Parsed result for candidate Wayland Johnson Jr. (001), REP party, in race Ward Committeeman, Rep 9th (0281) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 10th (0282) with 0 votes
Parsed result for candidate Carl Segvich (001), REP party, in race Ward Committeeman, Rep 11th (0283) with 0 votes
Parsed result for candidate Richard A. Catezone (002), REP party, in race Ward Committeeman, Rep 11th (0283) with 0 votes
Parsed result for candidate Antonio Mannings (001), REP party, in race Ward Committeeman, Rep 12th (0284) with 0 votes
Parsed result for candidate Gabriel Trejo (001), REP party, in race Ward Committeeman, Rep 13th (0285) with 0 votes
Parsed result for candidate Vilma F. Garcia (001), REP party, in race Ward Committeeman, Rep 14th (0286) with 0 votes
Parsed result for candidate Emma Walsh (002), REP party, in race Ward Committeeman, Rep 14th (0286) with 0 votes
Parsed result for candidate Rosa Pritchett (001), REP party, in race Ward Committeeman, Rep 15th (0287) with 0 votes
Parsed result for candidate Richard Munnich (001), REP party, in race Ward Committeeman, Rep 16th (0288) with 0 votes
Parsed result for candidate Sherri Griffith (001), REP party, in race Ward Committeeman, Rep 17th (0289) with 0 votes
Parsed result for candidate William Mr ''D'' Delay (001), REP party, in race Ward Committeeman, Rep 18th (0290) with 0 votes
Parsed result for candidate Symeon Brown (002), REP party, in race Ward Committeeman, Rep 18th (0290) with 0 votes
Parsed result for candidate Steven S. Graves (001), REP party, in race Ward Committeeman, Rep 19th (0291) with 0 votes
Parsed result for candidate Danny Carbol (002), REP party, in race Ward Committeeman, Rep 19th (0291) with 0 votes
Parsed result for candidate Maria Bailey (001), REP party, in race Ward Committeeman, Rep 20th (0292) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 21st (0293) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 22nd (0294) with 0 votes
Parsed result for candidate Robert J. Handzik (001), REP party, in race Ward Committeeman, Rep 23rd (0295) with 0 votes
Parsed result for candidate Larry G. Nelson (001), REP party, in race Ward Committeeman, Rep 24th (0296) with 0 votes
Parsed result for candidate Martin Ozinga IV (001), REP party, in race Ward Committeeman, Rep 25th (0297) with 0 votes
Parsed result for candidate Jason Wroble (001), REP party, in race Ward Committeeman, Rep 26th (0298) with 0 votes
Parsed result for candidate Mark Spognardi (001), REP party, in race Ward Committeeman, Rep 27th (0299) with 0 votes
Parsed result for candidate Eric Pulia (001), REP party, in race Ward Committeeman, Rep 28th (0300) with 0 votes
Parsed result for candidate Frances ''Fran'' Sapone (001), REP party, in race Ward Committeeman, Rep 29th (0301) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 30th (0302) with 0 votes
Parsed result for candidate Bob Howington (001), REP party, in race Ward Committeeman, Rep 31st (0303) with 0 votes
Parsed result for candidate Stephen Rossi (001), REP party, in race Ward Committeeman, Rep 32nd (0304) with 0 votes
Parsed result for candidate Stan Bartkus (001), REP party, in race Ward Committeeman, Rep 33rd (0305) with 0 votes
Parsed result for candidate Percy V. Coleman (001), REP party, in race Ward Committeeman, Rep 34th (0306) with 0 votes
Parsed result for candidate Walter Zarnecki (001), REP party, in race Ward Committeeman, Rep 35th (0307) with 0 votes
Parsed result for candidate Brent Mulvey (002), REP party, in race Ward Committeeman, Rep 35th (0307) with 0 votes
Parsed result for candidate Sammy Tenuta (001), REP party, in race Ward Committeeman, Rep 36th (0308) with 0 votes
Parsed result for candidate George McKinley (001), REP party, in race Ward Committeeman, Rep 37th (0309) with 0 votes
Parsed result for candidate Peter P. Podgorski (001), REP party, in race Ward Committeeman, Rep 38th (0310) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 39th (0311) with 0 votes
Parsed result for candidate Daniel J. Kelley (001), REP party, in race Ward Committeeman, Rep 40th (0312) with 0 votes
Parsed result for candidate Michael P. McAuliffe (001), REP party, in race Ward Committeeman, Rep 41st (0313) with 0 votes
Parsed result for candidate Rita Zak (001), REP party, in race Ward Committeeman, Rep 42nd (0314) with 0 votes
Parsed result for candidate Chris Cleveland (001), REP party, in race Ward Committeeman, Rep 43rd (0315) with 0 votes
Parsed result for candidate Scott Davis (001), REP party, in race Ward Committeeman, Rep 44th (0316) with 0 votes
Parsed result for candidate Roisin M. Dohl (001), REP party, in race Ward Committeeman, Rep 45th (0317) with 0 votes
Parsed result for candidate Diane S. Shapiro (001), REP party, in race Ward Committeeman, Rep 46th (0318) with 0 votes
Parsed result for candidate Jessica White (001), REP party, in race Ward Committeeman, Rep 47th (0319) with 0 votes
Parsed result for candidate Edward L. Bowe (001), REP party, in race Ward Committeeman, Rep 48th (0320) with 0 votes
Parsed result for candidate Kurt Fujio (001), REP party, in race Ward Committeeman, Rep 49th (0321) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race Ward Committeeman, Rep 50th (0322) with 0 votes
Parsed result for candidate Rob Sherman (001), GRN party, in race U.S. Representative, 5th District (0323) with 0 votes
Parsed result for candidate Warren ''Grizz'' Grimsley (002), GRN party, in race U.S. Representative, 5th District (0323) with 0 votes
Parsed result for candidate Michael Braboy (001), GRN party, in race Ward Committeeman, Grn 3rd (0324) with 0 votes
Parsed result for candidate Elvin McMillian (001), GRN party, in race Ward Committeeman, Grn 20th (0325) with 0 votes
Parsed result for candidate John ''Jack'' Ailey (001), GRN party, in race Ward Committeeman, Grn 22nd (0326) with 0 votes
Parsed result for candidate No Candidate (001), GRN party, in race Ward Committeeman, Grn 23rd (0327) with 0 votes
Parsed result for candidate Antonne ''Tony'' Cox (001), GRN party, in race Ward Committeeman, Grn 24th (0328) with 0 votes
Parsed result for candidate Christopher Anthony (001), GRN party, in race Ward Committeeman, Grn 25th (0329) with 0 votes
Parsed result for candidate No Candidate (001), GRN party, in race Ward Committeeman, Grn 29th (0330) with 0 votes
Parsed result for candidate Verne Peterson (001), GRN party, in race Ward Committeeman, Grn 33rd (0331) with 0 votes
Parsed result for candidate Nancy Wade (001), GRN party, in race Ward Committeeman, Grn 47th (0332) with 0 votes
Parsed result for candidate George Milkowski (001), GRN party, in race Ward Committeeman, Grn 50th (0333) with 0 votes
Parsed result for candidate Yes (001), no party, in race W29-Voting Rights (0334) with 0 votes
Parsed result for candidate No (002), no party, in race W29-Voting Rights (0334) with 0 votes
Parsed result for candidate Yes (001), no party, in race W32-Logan Sq. Zoning (0335) with 0 votes
Parsed result for candidate No (002), no party, in race W32-Logan Sq. Zoning (0335) with 0 votes
